"ModelID","seed","Global.Power","Conjunctive.Power","Disjunctive.Power","FWER","CI_95perc_Global.Power","CI_95perc_Conjunctive.Power","CI_95perc_Disjunctive.Power","CI_95perc_FWER","StagewiseRejection_Count","StagewiseRejection_Percentage","HoursTaken","Scenario","Method","SampleSize","alpha","TestStatCont","CommonStdDev","TestStatBin","FWERControl","nArms","nEps","lEpType","Arms.Mean","Arms.std.dev","Arms.Prop","Arms.alloc.ratio","EP.Corr","WI","G","test.type","info_frac","typeOfDesign","MultipleWinners","Selection","SelectionLook","SelectEndPoint","SelectionScale","SelectionCriterion","SelectionParmeter","KeepAssosiatedEps","ImplicitSSR","nSimulation","nSimulation_Stage2","Seed","SummaryStat","plotGraphs","Parallel"
1,1234,"0.0089087","0","0","0.0089087","(0.00836,0.00946)","(0,0)","(0,0)","(0.00836,0.00946)","1,83","1e-04,0.0083",0.581324845221308,"Futility Threshold = 0.75, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.75,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
2,1234,"0.4441732","0.4430183","0.4430183","0.0096156","(0.43849,0.44986)","(0.43732,0.44871)","(0.43732,0.44871)","(0.00904,0.0102)","300,4135","0.03,0.4135",0.601186359392272,"Futility Threshold = 0.75, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.1, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.75,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
3,1234,"0.633374","0.2741689","0.6331908","0.0086383","(0.62822,0.63853)","(0.2695,0.27883)","(0.62804,0.63835)","(0.00811,0.00916)","545,5859","0.0545,0.5859",0.608879895011584,"Futility Threshold = 0.75, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.75,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
4,1234,"0.7271759","0.2233535","0.7271372","0.0106897","(0.72265,0.7317)","(0.21916,0.22755)","(0.72261,0.73166)","(0.01004,0.01134)","761,6563","0.0761,0.6563",0.637101866669125,"Futility Threshold = 0.75, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.22, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.75,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
5,1234,"0.7807225","0.252783","0.7807225","0","(0.77665,0.7848)","(0.2483,0.25726)","(0.77665,0.7848)","(0,0)","959,6891","0.0959,0.6891",0.655925404760573,"Futility Threshold = 0.75, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.75,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
6,1234,"0.0089818","0","0","0.0089818","(0.00842,0.00955)","(0,0)","(0,0)","(0.00842,0.00955)","1,78","1e-04,0.0078",0.458263972269164,"Futility Threshold = 0.5, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.5,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
7,1234,"0.4915845","0.4904816","0.4904816","0.0097449","(0.48569,0.49748)","(0.48457,0.49639)","(0.48457,0.49639)","(0.00915,0.01034)","300,4628","0.03,0.4628",0.550527901715702,"Futility Threshold = 0.5, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.1, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.5,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
8,1234,"0.6697858","0.3018414","0.6696171","0.0087043","(0.66472,0.67486)","(0.29691,0.30678)","(0.66454,0.67469)","(0.00817,0.00924)","545,6237","0.0545,0.6237",0.588013968600167,"Futility Threshold = 0.5, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.5,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
9,1234,"0.7479692","0.2340261","0.7479317","0.0106369","(0.7436,0.75234)","(0.22969,0.23836)","(0.74356,0.7523)","(0.00999,0.01129)","761,6774","0.0761,0.6774",0.609355518288083,"Futility Threshold = 0.5, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.22, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.5,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
10,1234,"0.7887653","0.2505022","0.7887653","0","(0.78483,0.7927)","(0.24598,0.25503)","(0.78483,0.7927)","(0,0)","959,6979","0.0959,0.6979",0.644264996647835,"Futility Threshold = 0.5, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.5,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
11,1234,"0.0095969","0","0","0.0095969","(0.00899,0.0102)","(0,0)","(0,0)","(0.00899,0.0102)","1,86","1e-04,0.0086",0.301704740855429,"Futility Threshold = 0.25, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.25,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
12,1234,"0.5430028","0.5419336","0.5419336","0.0101405","(0.53671,0.54929)","(0.53563,0.54824)","(0.53563,0.54824)","(0.00952,0.01076)","300,5124","0.03,0.5124",0.456472784413232,"Futility Threshold = 0.25, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.1, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.25,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
13,1234,"0.7077574","0.3242392","0.707596","0.0088374","(0.70271,0.71281)","(0.31883,0.32965)","(0.70254,0.71265)","(0.00829,0.00939)","545,6594","0.0545,0.6594",0.51137252357271,"Futility Threshold = 0.25, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.25,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
14,1234,"0.7767621","0.2368181","0.7767261","0.0100126","(0.7726,0.78093)","(0.23212,0.24151)","(0.77256,0.78089)","(0.00936,0.01067)","761,7042","0.0761,0.7042",0.571667281124327,"Futility Threshold = 0.25, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.22, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.25,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
15,1234,"0.8099694","0.2323596","0.8099694","0","(0.80632,0.81362)","(0.22756,0.23716)","(0.80632,0.81362)","(0,0)","959,7205","0.0959,0.7205",0.636506893899706,"Futility Threshold = 0.25, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.22, 0.22, 0.22, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","threshold",0.25,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
16,1234,"0.0132574","0","0","0.0132574","(0.0124,0.01411)","(0,0)","(0,0)","(0.0124,0.01411)","1,125","1e-04,0.0125",0.444935904741287,"Select Best=1, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","best",1,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
17,1234,"0.5825198","0.5774961","0.5774961","0.0068344","(0.5756,0.58944)","(0.57044,0.58455)","(0.57044,0.58455)","(0.00609,0.00757)","300,5520","0.03,0.552",0.445883461700545,"Select Best=1, Parametric","CER",500,0.025,NA,NA,"UnPooled","CombinationTest",5,1,"list('EP1' = 'Binary')",NA,NA,"list('EP1' = c(0.1, 0.1, 0.1, 0.1, 0.22))","c(1,0.5,0.5,0.5,0.5)","matrix(1)","c(rep(1/4,4))","rbind(H1=c(0,1/3,1/3,1/3),
      H2=c(1/3,0,1/3,1/3),
      H3=c(1/3,1/3,0,1/3),
      H4=c(1/3,1/3,1/3,0))","Parametric","c(1/2,1)","asOF",TRUE,TRUE,1,1,"pvalue","best",1,TRUE,"Selection",10000,1000,1234,TRUE,FALSE,TRUE
